customer_id,name,email,plan_type,monthly_charge,signup_date,last_login_date,support_tickets,tenure_days,churned,login_data_missing
2299,Jack Carter,ashleytorres@example.net,Basic,9.99,2025-05-18,2025-09-20,1,424,0,False
1591,Kim Beltran,fbradley@example.net,Pro,39.99,2025-06-07,2025-12-08,2,404,0,False
2319,Philip Powell,zgomez@example.org,Pro,39.99,2026-05-28,2026-07-04,3,49,1,False
2067,Timothy Martinez,justinkline@example.org,Pro,39.99,2024-09-07,2026-04-01,0,677,0,False
1029,Marc Hart,jonesjason@example.com,Basic,9.99,2024-10-15,2025-05-26,1,639,1,False
2058,Natalie Smith,kimberly84@example.com,Pro,39.99,2026-03-22,2026-04-21,1,116,1,False
1712,Scott Hunter,lbaker@example.com,Basic,9.99,2025-09-19,2026-01-02,0,300,0,False
1453,Kenneth Martin,macdonalddylan@example.org,Pro,39.99,2025-01-11,2025-04-20,1,551,1,False
2647,Anthony Smith,ymoore@example.org,Premium,19.99,2025-12-20,2026-04-08,0,208,1,False
1757,Mr. Gary Mitchell DVM,longbrittany@example.org,Pro,39.99,2026-02-20,2026-03-14,1,146,0,False
1941,Ashley Floyd,nicholasmcgrath@example.net,Pro,39.99,2026-02-24,2026-07-05,2,142,0,False
1834,Isaiah Blake,brandonhull@example.net,Pro,39.99,2025-05-25,2025-05-27,0,417,0,False
1829,Douglas Morse,james94@example.net,Premium,19.99,2024-12-16,2026-07-04,0,577,0,False
1233,James Jacobs,russojacob@example.net,Pro,39.99,2025-12-04,2026-04-08,2,224,0,False
1788,Jeremy Hunter,mooremichael@example.org,Basic,9.99,2024-10-09,2025-02-16,1,645,1,False
1706,Jesse Martinez,ocrawford@example.org,Basic,9.99,2024-08-04,2026-01-10,2,711,1,False
1070,Bryan Lee,newtonstephanie@example.net,Pro,39.99,2024-11-21,2025-03-31,2,602,1,False
2121,Kelly Combs,brownmaria@example.net,Premium,19.99,2024-09-27,2025-10-22,1,657,1,False
1128,Laura Aguirre,lynchdiane@example.net,Pro,39.99,2025-01-18,2025-04-26,1,544,1,False
2537,Mark Gutierrez,sharon46@example.org,Premium,19.99,2025-12-23,2025-12-31,1,205,1,False
1056,Sara Calhoun,meadowsbrittany@example.net,Basic,9.99,2024-08-02,2025-11-03,4,713,1,False
2514,Jacqueline Giles,wrobinson@example.net,Premium,19.99,2025-04-26,2026-03-27,2,446,1,False
1619,Tina Davis,stephanie69@example.net,Premium,19.99,2026-03-07,2026-04-19,0,131,1,False
2646,Brianna Price,mollyhodge@example.net,Basic,9.99,2024-12-31,2025-10-01,0,562,0,False
2676,Angela Martin,millerjames@example.org,Premium,19.99,2025-05-18,2026-06-01,1,424,0,False
1416,Antonio Mueller,karenjohnson@example.com,Premium,19.99,2024-09-24,2026-04-19,0,660,1,False
1985,Heidi Torres,caldwellfelicia@example.org,Pro,39.99,2025-03-03,2026-03-08,0,500,0,False
1874,Jason Paul,nfriedman@example.org,Pro,39.99,2026-03-16,2026-04-22,1,122,1,False
2083,Gail Smith,zdavis@example.com,Basic,9.99,2025-12-03,2026-02-02,0,225,1,False
2094,Christina Ross,ramirezfrank@example.com,Pro,39.99,2026-05-12,2026-06-18,0,65,0,False
2041,Jeffrey Morales,stewartwendy@example.com,Pro,39.99,2024-12-10,,0,583,0,True
2310,Linda Evans,perkinsmichelle@example.org,Premium,19.99,2025-11-30,2026-03-10,1,228,1,False
2006,Joshua Smith,garciakenneth@example.net,Pro,39.99,2026-03-27,2026-05-12,1,111,0,False
2826,Sheena Rodriguez,janet71@example.org,Pro,39.99,2025-07-05,2025-12-05,0,376,1,False
2022,Amanda Potter,alexwall@example.net,Basic,9.99,2026-05-09,2026-06-08,0,68,0,False
2687,Elizabeth Jackson,rickey20@example.org,Pro,39.99,2026-03-22,2026-06-17,4,116,0,False
2703,Courtney Sanders,bcooper@example.net,Pro,39.99,2024-10-20,2026-07-14,1,634,0,False
1342,Margaret Tanner,nsmith@example.org,Pro,39.99,2025-11-12,2026-02-06,2,246,1,False
2813,Dustin Anderson,jackierichardson@example.com,Pro,39.99,2025-12-02,2026-06-09,2,226,0,False
1450,Ricky Eaton,shawdon@example.org,Basic,9.99,2024-12-22,,1,571,0,True
2505,Arthur Hammond,jennifer73@example.com,Premium,19.99,2024-08-01,2025-02-11,0,714,1,False
2779,Abigail Williams,lauriewatson@example.org,Basic,9.99,2025-08-29,2026-06-06,3,321,0,False
2433,Andrew Jenkins,vanessamartinez@example.net,Premium,19.99,2025-03-19,2026-06-17,0,484,0,False
1220,Elizabeth Johnson,lisa39@example.org,Basic,9.99,2024-08-15,2025-04-13,3,700,1,False
1211,Christopher Stevens,jennifer05@example.com,Premium,19.99,2025-08-16,2026-04-25,1,334,1,False
1464,Justin Webb,becky62@example.net,Premium,19.99,2024-10-06,2025-03-03,2,648,1,False
1111,Leonard Holland,tblankenship@example.net,Pro,39.99,2025-04-26,2025-06-27,1,446,1,False
2829,Megan Griffin,fcarlson@example.org,Pro,39.99,2024-12-05,2025-10-31,1,588,0,False
2317,Veronica Valdez,rchan@example.org,Premium,19.99,2026-04-28,2026-06-04,2,79,0,False
2292,Susan Sanchez,smithantonio@example.net,Pro,39.99,2025-04-25,2025-12-13,1,447,1,False
1289,Melissa Horn,brobinson@example.org,Basic,9.99,2025-06-26,,0,385,0,True
1611,Nicholas Fisher,keith09@example.net,Pro,39.99,2025-02-12,2026-03-26,0,519,1,False
2332,Gary White,shawn60@example.com,Basic,9.99,2025-08-21,2025-08-23,1,329,1,False
1538,Allison Torres,christina79@example.org,Premium,19.99,2025-05-19,2026-06-13,1,423,0,False
1306,Logan Brown,davidzimmerman@example.net,Premium,19.99,2024-07-22,2025-07-16,0,724,1,False
1188,David Davis,sonia96@example.org,Pro,39.99,2026-05-19,2026-07-10,0,58,0,False
2425,Adrian Hernandez,sandra57@example.org,Basic,9.99,2026-04-07,2026-04-12,5,100,1,False
2490,Tiffany Best,vincentmorris@example.net,Pro,39.99,2025-10-27,2025-11-01,1,262,1,False
1482,Daniel Carpenter,michael42@example.net,Premium,19.99,2025-01-14,2025-06-10,0,548,0,False
2608,Carly King,tuckervanessa@example.org,Basic,9.99,2024-08-13,2024-11-19,1,702,1,False
1692,Alyssa Olsen,davidbenson@example.net,Premium,19.99,2024-12-20,2025-03-01,3,573,0,False
2557,Jasmine Lewis,boonericky@example.com,Pro,39.99,2025-05-20,2026-03-27,3,422,1,False
1530,Thomas Navarro,laura27@example.net,Premium,19.99,2025-11-18,2026-06-02,2,240,0,False
2791,Maria Thompson,mmcdaniel@example.com,Basic,9.99,2026-01-17,2026-05-28,1,180,0,False
2293,James Logan,nicole81@example.net,Premium,19.99,2026-01-09,2026-05-10,1,188,1,False
2378,Annette Knapp,danielmelissa@example.com,Pro,39.99,2025-03-23,,0,480,1,True
1535,Patrick Kelley,christopher86@example.net,Pro,39.99,2024-10-14,2025-01-08,1,640,1,False
2575,Elijah Johnson,bgonzalez@example.org,Pro,39.99,2025-05-15,2026-02-11,3,427,1,False
2318,Elizabeth Thomas,jessica57@example.com,Basic,9.99,2025-05-08,2025-10-25,2,434,0,False
2283,Bonnie Lawson,davisjeffery@example.org,Premium,19.99,2025-08-18,2025-10-16,0,332,1,False
1239,Phillip Burns,umurray@example.com,Pro,39.99,2024-11-10,2026-01-25,0,613,1,False
1367,Danny Clark,xpalmer@example.net,Pro,39.99,2024-07-21,2026-05-12,4,725,1,False
