customer_id,name,email,plan_type,monthly_charge,signup_date,last_login_date,support_tickets,tenure_days,churned
2299,Jack Carter,ashleytorres@example.net,basic,9.99,2025-05-18,2025-09-20,1,424,0
1591,Kim Beltran,fbradley@example.net,Pro ,39.99,2025-06-07,2025-12-08,2,404,0
2319,Philip Powell,zgomez@example.org,Pro,39.99,2026-05-28,2026-07-04,3,49,1
2067,Timothy Martinez,justinkline@example.org,PRO,39.99,2024-09-07,2026-04-01,0,677,0
1029,Marc Hart,jonesjason@example.com,Basic,9.99,2024-10-15,2025-05-26,1,639,1
2058,Natalie Smith,kimberly84@example.com,pro,39.99,2026-03-22,2026-04-21,1,116,1
1712,Scott Hunter,lbaker@example.com,BASIC,9.99,2025-09-19,2026-01-02,0,300,0
1453,Kenneth Martin,macdonalddylan@example.org,PRO,39.99,2025-01-11,2025-04-20,1,551,1
2647,Anthony Smith,ymoore@example.org,PREM,19.99,2025-12-20,2026-04-08,0,208,1
1757,Mr. Gary Mitchell DVM,longbrittany@example.org,pro,39.99,2026-02-20,2026-03-14,1,146,0
1941,Ashley Floyd,nicholasmcgrath@example.net,pro,39.99,2026-02-24,2026-07-05,2,142,0
1834,Isaiah Blake,brandonhull@example.net,Pro,39.99,2025-05-25,2025-05-27,0,417,0
1829,Douglas Morse,james94@example.net,PREM,19.99,2024-12-16,2026-07-04,0,577,0
1233,James Jacobs,russojacob@example.net,PRO,39.99,2025-12-04,2026-04-08,2,224,0
1788,Jeremy Hunter,mooremichael@example.org,Basic ,9.99,2024-10-09,2025-02-16,1,645,1
1706,Jesse Martinez,ocrawford@example.org,basic,9.99,2024-08-04,2026-01-10,2,711,1
1070,Bryan Lee,newtonstephanie@example.net,PRO,39.99,2024-11-21,2025-03-31,2,602,1
2121,Kelly Combs,brownmaria@example.net,Premium ,19.99,2024-09-27,2025-10-22,1,657,1
1128,Laura Aguirre,lynchdiane@example.net,pro,39.99,2025-01-18,2025-04-26,1,544,1
2537,Mark Gutierrez,sharon46@example.org,premium,19.99,2025-12-23,2025-12-31,1,205,1
1056,Sara Calhoun,meadowsbrittany@example.net,Basic,9.99,2024-08-02,2025-11-03,4,713,1
2514,Jacqueline Giles,wrobinson@example.net,Premium ,19.99,2025-04-26,2026-03-27,2,446,1
1619,Tina Davis,stephanie69@example.net,Premiun,19.99,2026-03-07,2026-04-19,0,131,1
2646,Brianna Price,mollyhodge@example.net,BASIC,9.99,2024-12-31,2025-10-01,0,562,0
2676,Angela Martin,millerjames@example.org,Premiun,19.99,2025-05-18,2026-06-01,1,424,0
1416,Antonio Mueller,karenjohnson@example.com,premium,19.99,2024-09-24,2026-04-19,0,660,1
1985,Heidi Torres,caldwellfelicia@example.org,Pro ,39.99,2025-03-03,2026-03-08,0,500,0
1874,Jason Paul,nfriedman@example.org,Pro ,39.99,2026-03-16,2026-04-22,1,122,1
